"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/16 12:10'15"	"41836.5071180556"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:10'35"	"41836.5073495370"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:10'55"	"41836.5075810185"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:11'15"	"41836.5078125000"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:11'35"	"41836.5080439815"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:11'55"	"41836.5082754630"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:12'15"	"41836.5085069444"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:12'35"	"41836.5087384259"	"  22.6000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:12'55"	"41836.5089699074"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:13'15"	"41836.5092013889"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:13'35"	"41836.5094328704"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:13'55"	"41836.5096643519"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:14'15"	"41836.5098958333"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:14'35"	"41836.5101273148"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
